,Acquired Immunodeficiency Syndrome,Glioma,"Carcinoma, Non-Small-Cell Lung",Urinary Bladder Neoplasms,Lymphoma,Stomach Neoplasms,Thyroid Neoplasms,Uterine Cervical Neoplasms,"Cardiomyopathy, Dilated",Alzheimer Disease,Colonic Neoplasms,"Myositis, Inclusion Body",Ovarian Neoplasms,Prostatic Neoplasms,Huntington Disease,Lung Neoplasms,Breast Neoplasms,Neoplasms,Melanoma,Schizophrenia,"Carcinoma, Hepatocellular",Neuroblastoma,Colorectal Neoplasms,Eosinophilic Esophagitis,Osteosarcoma,"Thyroid Cancer, Papillary",Retinoblastoma,"Carcinoma, Squamous Cell",Glioblastoma,Astrocytoma,Esophageal Neoplasms,Tongue Neoplasms,Aging,Seizures,Mental Disorders,Depression,Testicular Neoplasms,Endometrial Neoplasms,"Carcinoma, Renal Cell",Carcinoma,Wilms Tumor,"Diabetes Mellitus, Type 2",Gallbladder Neoplasms,"Leukemia, Myeloid, Acute",Adenocarcinoma of Lung,Pancreatic Neoplasms,"Intracranial Hemorrhage, Hypertensive",Stroke,"Stroke, Lacunar",Peripheral Arterial Disease,"Glaucoma, Open-Angle",Intracranial Aneurysm,Leukemia,Cardiovascular Diseases,Carotid Stenosis,Glaucoma,Atherosclerosis,"Carcinoma, Basal Cell",Endometriosis,Coronary Artery Disease,Aortic Aneurysm,"Neurofibroma, Plexiform",Myocardial Infarction,"Aortic Aneurysm, Abdominal",Periodontitis,Neurofibromatosis 1,Diabetes Mellitus,Precursor Cell Lymphoblastic Leukemia-Lymphoma,Frailty,Neurofibromatoses,Primary Myelofibrosis,Hypertension,Heart Failure,Medulloblastoma,"Leukemia, Lymphocytic, Chronic, B-Cell","Osteoporosis, Postmenopausal",Bone Diseases,Bipolar Disorder,Panic Disorder,DiGeorge Syndrome,Autism Spectrum Disorder,"Depressive Disorder, Major",Psychotic Disorders,Mood Disorders,"Leukemia, Lymphoid",Kidney Neoplasms,"Lymphoma, B-Cell","Leukemia, T-Cell",Multiple Myeloma,"Lupus Erythematosus, Systemic","Lymphoma, Mantle-Cell",Osteoarthritis,Liver Cirrhosis,Head and Neck Neoplasms,"Carcinoma, Ovarian Epithelial",Hematopoiesis,Hydatidiform Mole,Marek Disease,Neural Tube Defects,Pheochromocytoma,Congenital Hyperinsulinism,Pre-Eclampsia,Prader-Willi Syndrome,Hyperprolactinemia,Silver-Russell Syndrome,Adenocarcinoma,"Neoplasms, Germ Cell and Embryonal",Meningioma,Liver Neoplasms,Gestational Trophoblastic Disease,Choriocarcinoma,Pituitary Neoplasms,Adrenocortical Carcinoma,Trophoblastic Neoplasms,Infertility,Beckwith-Wiedemann Syndrome,"Arthritis, Rheumatoid","Leukemia, Myelogenous, Chronic, BCR-ABL Positive",Polycythemia Vera,Hyperhomocysteinemia,Obesity,Fibrosis,Rhabdomyosarcoma,Insulinoma,"Infarction, Middle Cerebral Artery","Carcinoma, Embryonal",Parkinson Disease,"Heart Defects, Congenital",Pneumoconiosis,"Colitis, Ulcerative",Diabetic Cardiomyopathies,"Aortic Aneurysm, Thoracic",Ependymoma,Sarcoma,Heart Diseases,Hepatitis C,Squamous Cell Carcinoma of Head and Neck,Gastrointestinal Stromal Tumors,Asthenozoospermia,Cerebrovascular Disorders,Multiple Sclerosis,Sjogren's Syndrome,"Thyroiditis, Autoimmune","Diabetes Mellitus, Type 1",Narcolepsy,Fibroma,Fibrosarcoma,Uterine Neoplasms,"Sarcoma, Endometrial Stromal","Carcinoma, Endometrioid",Hyperglycemia,HIV,"Vitreoretinopathy, Proliferative",Congenital Microtia,Retinal Degeneration,Amyotrophic Lateral Sclerosis,Familial Primary Pulmonary Hypertension,Hemangioma,Heroin Dependence,Myelodysplastic Syndromes,Metabolic Syndrome,"Purpura, Thrombocytopenic",Liver Diseases,Substance-Related Disorders,Diabetic Retinopathy,Myopia,"Leukemia, Myeloid",Syndrome,Psoriasis,Diabetic Nephropathies,Plasmacytoma,Hodgkin Disease,Burkitt Lymphoma,Cleft Lip,Cardiomegaly,"Leukemia, Promyelocytic, Acute",Asthma,Spinocerebellar Ataxias,Cardiomyopathies,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,"Anemia, Aplastic",Dyskeratosis Congenita,"Multiple Sclerosis, Relapsing-Remitting",Hepatoblastoma,"Renal Insufficiency, Chronic",Prostatic Hyperplasia,Lithiasis,"Epilepsy, Temporal Lobe",Neurodegenerative Diseases,Klinefelter Syndrome
"Carcinoma, Squamous Cell",0,0.25029421,0.032859837,0.042370659,0.202388977,0.044916432,0.056273526,0.034755512,0,0,0.032359039,0,0.044502378,0.044907309,0,0.046650919,0.084214944,0.283736906,0.151742912,0,0.315360883,0.185773191,0.032348324,0,0.12342888,0.258964613,0.175988889,1,0.185773191,0.21164781,0.05150256,0.044909149,0,0,0,0,0.046658744,0.038129267,0.288271559,0.694035333,0.128023894,0,0.044916432,0.146528902,0.331682149,0.053291309,0,0,0,0,0,0,0.278924977,0,0,0,0,0.467203749,0,0,0,0.103235319,0,0,0,0.083014401,0,0.120082876,0,0.102636598,0,0,0,0.191995423,0.103201688,0,0,0,0,0,0,0,0,0,0.143567456,0.042370659,0.128666339,0.120082876,0.107200613,0,0.128666339,0,0,0.105341794,0.318658766,0,0.115684425,0,0,0.096666669,0,0,0,0,0,0.520841644,0.278924977,0.137906354,0.061884107,0.140024342,0.335361425,0.044718414,0.297645036,0.175269549,0,0,0,0.116194837,0.0438811,0,0,0,0.10948775,0.180790768,0,0.195253656,0,0,0,0,0,0,0.21164781,0.195253656,0,0,0.607066294,0.112340376,0,0,0,0,0,0,0,0.117264301,0.12342888,0.043884748,0.132221005,0.244800178,0,0,0,0,0,0,0,0.195253656,0,0,0,0,0,0,0,0,0.195253656,0,0,0,0.157564505,0.159142735,0.082020039,0,0,0.117265719,0,0,0,0.103201688,0,0,0,0.195253656,0,0,0,0,0,0
Glioblastoma,0,0.740343285,0.018996465,0.030050089,0.170345561,0.031885422,0.043838048,0.022237649,0,0,0.018700805,0,0.034553596,0.031878485,0,0.033138327,0.070995541,0.26835571,0.304096983,0,0.117603657,0.313075329,0.020675042,0,0.087677143,0.09127795,0.362227381,0.185773191,1,0.834641605,0.040067714,0.031880523,0,0,0,0,0.036249767,0.024432996,0.102949568,0.30380367,0.102963979,0,0.031885422,0.104417307,0.11869604,0.041479725,0,0,0,0,0,0,0.236173215,0,0,0,0,0.185773191,0,0,0,0.122188584,0,0,0,0.085675139,0,0.085259257,0,0.115668957,0,0,0,0.511762624,0.066156775,0,0,0,0,0,0,0,0,0,0.111777122,0.030050089,0.091459257,0.085259257,0.083142619,0,0.091459257,0,0,0.089195706,0.125983921,0,0.135482314,0,0,0.217643728,0,0,0,0,0,0.207531551,0.4576512,0.205428232,0.04828439,0.182942659,0.206020423,0.034723435,0.106344172,0.251559255,0,0,0,0.082456576,0.031138743,0,0,0,0.070263334,0.115654827,0,0.292631297,0,0,0,0,0,0,0.56508657,0.152855607,0,0,0.145209903,0.07967828,0,0,0,0,0,0,0,0.075352761,0.087677143,0.031141373,0.1028195,0.087245621,0,0,0,0,0,0,0,0.152855607,0,0,0,0,0,0,0,0,0.152855607,0,0,0,0.122857018,0.124106046,0.052390144,0,0,0.075354577,0,0,0,0.066156775,0,0,0,0.152855607,0,0,0,0,0,0
Astrocytoma,0,0.84431607,0.024021984,0.034356721,0.180161108,0.036410081,0.047973832,0.026729976,0,0,0.023657123,0,0.037980091,0.036402499,0,0.037808685,0.074926036,0.267479997,0.341635954,0,0.139852957,0.395232906,0.024887316,0,0.100035169,0.112630999,0.415924364,0.21164781,0.834641605,1,0.043925987,0.036404436,0,0,0,0,0.039812438,0.02931011,0.124046214,0.330298996,0.111463164,0,0.036410081,0.118632748,0.142629238,0.045443784,0,0,0,0,0,0,0.247802297,0,0,0,0,0.21164781,0,0,0,0.143215536,0,0,0,0.101220806,0,0.097336893,0,0.130341292,0,0,0,0.614512795,0.079322119,0,0,0,0,0,0,0,0,0,0.122416245,0.034356721,0.104252601,0.097336893,0.091523925,0,0.104252601,0,0,0.09358767,0.144629441,0,0.156869927,0,0,0.264027303,0,0,0,0,0,0.235785032,0.474398497,0.221549049,0.052729147,0.202495335,0.233919049,0.038163698,0.128060912,0.268597108,0,0,0,0.094203106,0.035575245,0,0,0,0.08412582,0.139051863,0,0.313048722,0,0,0,0,0,0,0.67704098,0.16618645,0,0,0.169500886,0.091093522,0,0,0,0,0,0,0,0.090062058,0.100035169,0.035578187,0.112786306,0.105411821,0,0,0,0,0,0,0,0.16618645,0,0,0,0,0,0,0,0,0.16618645,0,0,0,0.134285239,0.135621251,0.063115218,0,0,0.0900637,0,0,0,0.079322119,0,0,0,0.16618645,0,0,0,0,0,0
Esophageal Neoplasms,0,0.049757585,0.100145343,0.119871432,0.073349332,0.529656998,0.298742319,0.103273557,0,0,0.388223318,0,0.1234583,0.125738622,0,0.129701499,0.210181245,0.222842159,0.05762329,0,0.256327023,0.040067714,0.394495666,0.205411048,0.048954186,0.215926868,0.098208046,0.05150256,0.040067714,0.043925987,1,0.249915879,0,0,0,0,0.128531184,0.111407647,0.092933129,0.070498806,0.10970673,0,0.28127798,0.056140193,0.104458049,0.331039773,0,0,0,0,0,0,0.094726352,0,0,0,0,0.05150256,0,0,0,0.042841816,0,0,0,0.046106113,0,0.047871258,0,0.058319438,0,0,0,0.040589377,0.042830539,0,0,0,0,0,0,0,0,0,0.055053902,0.119871432,0.050627634,0.047871258,0.042985314,0,0.050627634,0,0.09661776,0.498504576,0.099248363,0,0.051277653,0,0,0.041155426,0.06587993,0,0,0,0,0.056140193,0.094726352,0.114533161,0.374164853,0.06109183,0.052577559,0.123969761,0.095468375,0.075552584,0,0,0,0.046598638,0.1233795,0,0,0,0.044913951,0.22256607,0,0.070498806,0,0,0,0.124451494,0,0,0.043925987,0.070498806,0,0.047644865,0.306637692,0.430711842,0,0,0,0,0,0,0,0.047425889,0.048954186,0.123387921,0.051403189,0.080837484,0,0,0,0,0,0,0,0.070498806,0,0,0,0,0.139910813,0,0,0,0.070498806,0,0,0,0.059422663,0.059906206,0.035436306,0,0,0.047426289,0,0,0,0.042830539,0,0,0,0.070498806,0,0,0,0,0,0
Tongue Neoplasms,0,0.04320008,0.079106246,0.102931327,0.069983291,0.108578013,0.271110905,0.0843866,0,0,0.078007865,0,0.109813988,0.108557625,0,0.11239382,0.202421201,0.244867508,0.052383156,0,0.097933264,0.031880523,0.078995665,0,0.042418605,0.183509717,0.082675721,0.044909149,0.031880523,0.036404436,0.249915879,1,0,0,0,0,0.114756795,0.091838584,0.075099931,0.06578297,0.095413493,0,0.108578013,0.049523355,0.08546463,0.129758382,0,0,0,0,0,0,0.093465369,0,0,0,0,0.044909149,0,0,0,0.035394792,0,0,0.215599631,0.040967768,0,0.041369409,0,0.054380556,0,0,0,0.033317261,0.035384324,0,0,0,0,0,0,0,0,0,0.049791376,0.102931327,0.044049918,0.041369409,0.03796411,0,0.044049918,0,0,0.491868559,0.083630105,0,0.044687308,0,0,0.032862228,0,0,0,0,0,0.049523355,0.093465369,0.097805141,0.148753049,0.055924033,0.047317957,0.110310652,0.077358196,0.072331466,0,0,0,0.040144206,0.106288404,0,0,0,0.037330414,0.083486456,0,0.06578297,0,0,0,0,0,0,0.036404436,0.06578297,0,0,0.279112668,0.038922393,0,0,0,0.101216689,0,0,0,0.039707858,0.042418605,0.106296488,0.046154128,0.064493662,0,0,0,0,0,0,0,0.06578297,0,0,0,0,0,0,0,0,0.06578297,0,0,0,0.054214137,0.054708121,0.028663588,0.174007373,0,0.039708374,0,0,0,0.035384324,0,0,0,0.06578297,0,0,0,0,0,0
Aging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06982794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seizures,0,0,0,0,0,0,0,0,0,0.090264544,0,0.099396092,0,0,0.061623434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.084783504,0.092501088,0.07617853,0,0,0.073373338,0,0,0.073373338,0,0,0,0,0,0,0.079692076,0,0,0,0.072319901,0,0,0.132967489,0.086310151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143006464,0,0,0,0.160104856,0.079823419,0,0,0,0.074145046,0,0,0,0.05650744,0,0,0,0,0,0,0,0,0.147348899,0.132967489,0,0,0.062380363,0,0.115026571,0,0,0,0,0,0,0,0,0,0,0,0,0.104026539,0.107943143,0,0,0,0.089701943,0,0,0,0,0,0,0,0,0,0,0.079405368,0,0,0,0,0,0.123158934,0,0,0,0,0,0.097429585,0,0,0,0,0,0,0.080698279,0,0,0.16045673,0,0,0,0,0.094748631,0,0,0,0.132967489,0.081484555,0.230542069,0
Mental Disorders,0,0,0,0,0,0,0,0,0,0.24047297,0,0,0,0,0.149169646,0,0,0,0,0.460750139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.460750139,0.460750139,0,0.380952363,0.380952363,0.460750139,0.618819951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302717109,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34407527,0,0,0,0,0.499490311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Depression,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Testicular Neoplasms,0,0.045221769,0.091089132,0.245944089,0.067098176,0.114770598,0.358039487,0.163274755,0,0,0.090061797,0,0.441351723,0.483582346,0,0.118045499,0.190931258,0.195104005,0.052639838,0,0.105407622,0.036249767,0.089557351,0,0.044557334,0.261307684,0.091375348,0.046658744,0.036249767,0.039812438,0.128531184,0.114756795,0,0,0,0,1,0.174976977,0.186992056,0.063181263,0.193261456,0.09613913,0.114770598,0.05043323,0.095587755,0.343581372,0,0,0,0,0,0,0.084553681,0,0,0,0,0.046658744,0,0,0,0.038919722,0,0,0,0.042858689,0.123273489,0.043658223,0,0.054297064,0,0,0,0.03705176,0.038910415,0,0,0,0,0.046217164,0,0,0,0,0.050487295,0.245944089,0.045939128,0.043658223,0.04014961,0,0.045939128,0,0,0.223882018,0.355136728,0,0.04647362,0,0,0.037137924,0,0,0,0.078203944,0,0.05043323,0.084553681,0.105319182,0.14754722,0.055519063,0.048396566,0.299781305,0.229178644,0.068937022,0.192592102,0,0,0.042597382,0.112785125,0,0,0,0.04062253,0.244170981,0,0.063181263,0,0,0,0,0.072016338,0,0.039812438,0.063181263,0,0,0.140802621,0.041527987,0.134790763,0,0,0,0.074092659,0.085465145,0,0.042666541,0.044557334,0.198901392,0.096214972,0.231450616,0,0,0,0,0,0,0,0.063181263,0,0,0,0,0,0,0.058129052,0,0.063181263,0,0,0.121965999,0.054137435,0.054538246,0.032709521,0,0,0.04266693,0,0,0,0.038910415,0,0,0,0.063181263,0.050091252,0.168811717,0,0,0,0.177124106
Endometrial Neoplasms,0,0.036619755,0.060465574,0.260265616,0.064926964,0.09185201,0.121203641,0.649170405,0,0,0.059591481,0,0.404993686,0.182521258,0,0.095207868,0.188435987,0.247145315,0.046573708,0,0.082540126,0.024432996,0.063128428,0,0.035931655,0.077666975,0.069312854,0.038129267,0.024432996,0.02931011,0.111407647,0.091838584,0,0,0,0,0.174976977,1,0.179432042,0.059052984,0.187862121,0,0.09185201,0.042227728,0.06848864,0.115089499,0,0,0,0,0,0,0.08779516,0,0,0,0,0.038129267,0.31166427,0,0,0.028464499,0,0,0,0.036128243,0,0.035008539,0,0.050041314,0,0,0,0.02673059,0.028455741,0,0,0,0,0,0,0,0,0,0.044187514,0.260265616,0.037369203,0.035008539,0.033409482,0,0.037369203,0,0,0.232464836,0.306916046,0,0.067823917,0,0,0.025218654,0,0.060137112,0,0,0,0.042227728,0.08779516,0.082361216,0.132615176,0.087205188,0.073333052,0.09733058,0.061777443,0.115411486,0.264296148,0,0,0.033933601,0.089843249,0,0,0,0.03008783,0.066844567,0,0.059052984,0,0,0,0,0,0,0.02931011,0.059052984,0,0,0.124916597,0.032863537,0,0,0,0,0,0,0,0.032090974,0.035931655,0.862922419,0.579890856,0.543501138,0,0,0,0,0,0,0,0.059052984,0,0,0,0,0,0,0,0,0.059052984,0,0,0.089367625,0.048264788,0.048721377,0.02287589,0,0,0.032091575,0,0,0,0.028455741,0,0,0,0.059052984,0.083384921,0,0,0,0,0.060365732
"Carcinoma, Renal Cell",0,0.156019653,0.049044168,0.44240311,0.141381786,0.075108458,0.099651635,0.166990563,0,0,0.048466404,0,0.203739349,0.195444981,0,0.07733847,0.152359767,0.181885252,0.101084362,0,0.369924829,0.102949568,0.052686728,0,0.077302249,0.298629259,0.154859461,0.288271559,0.102949568,0.124046214,0.092933129,0.075099931,0,0,0,0,0.186992056,0.179432042,1,0.434581003,0.537677683,0,0.075108458,0.087956507,0.375673906,0.09548053,0,0,0,0,0,0,0.179920851,0,0,0,0,0.288271559,0.123056783,0,0,0.060956425,0,0,0,0.054428452,0,0.075680077,0,0.071201179,0,0,0,0.11511383,0.060941258,0,0,0,0,0,0,0,0,0,0.096799824,0.733350588,0.079794086,0.075680077,0.076407716,0,0.079794086,0,0,0.179911232,0.342792599,0,0.093391494,0,0,0.053123525,0,0.047023864,0,0,0,0.531352878,0.179920851,0.126938001,0.107237859,0.119470962,0.36915903,0.082927595,0.344852739,0.158052688,0.173839333,0,0,0.073773191,0.073759921,0,0,0,0.063738322,0.144212733,0,0.122261109,0,0,0,0,0,0,0.124046214,0.122261109,0,0,0.286643575,0.071852015,0.041797998,0,0,0,0,0,0,0.067088292,0.077302249,0.22090863,0.162485193,0.382111336,0,0,0,0,0,0,0,0.122261109,0,0,0,0,0,0,0,0,0.122261109,0,0,0.30491638,0.104073155,0.104871962,0.050900127,0,0,0.067089662,0,0,0,0.060941258,0,0,0,0.122261109,0.27443925,0.055241206,0,0,0,0.081823072
Carcinoma,0,0.369522562,0.053179364,0.061604366,0.266293452,0.065795686,0.077864317,0.053174848,0,0,0.052259727,0,0.059973793,0.065781186,0,0.068686623,0.112264263,0.379706253,0.210457958,0,0.475983271,0.30380367,0.049067596,0,0.181710005,0.402450135,0.249352159,0.694035333,0.30380367,0.330298996,0.070498806,0.06578297,0,0,0,0,0.063181263,0.059052984,0.434581003,1,0.167992797,0,0.065795686,0.221445973,0.50833084,0.073242466,0,0,0,0,0,0,0.385610632,0,0,0,0,0.694035333,0,0,0,0.160387006,0,0,0,0.120023057,0,0.176127542,0,0.14044827,0,0,0,0.295580833,0.16032732,0,0,0,0,0,0,0,0,0,0.19772901,0.061604366,0.190545648,0.176127542,0.143195695,0,0.190545648,0,0,0.145633841,0.452024718,0,0.176784664,0,0,0.158904287,0,0,0,0,0,0.787136758,0.385610632,0.189018479,0.086733877,0.20207634,0.496176272,0.060293754,0.450300756,0.238232441,0,0,0,0.169685536,0.064083321,0,0,0,0.171575746,0.276205502,0,0.281331002,0,0,0,0,0,0,0.330298996,0.281331002,0,0,0.555004431,0.163358747,0,0,0,0,0,0,0,0.185771568,0.181710005,0.064089336,0.180354586,0.363104354,0,0,0,0,0,0,0,0.281331002,0,0,0,0,0,0,0,0,0.281331002,0,0,0,0.219631659,0.222139287,0.123806736,0,0,0.18577253,0,0,0,0.16032732,0,0,0,0.281331002,0,0,0,0,0,0
Wilms Tumor,0,0.124417549,0.073130403,0.420946841,0.177416936,0.095423659,0.11673685,0.176295359,0,0,0.072373679,0,0.208186167,0.20178471,0.094242742,0.097918024,0.164204794,0.192783763,0.1422424,0,0.140189829,0.102963979,0.073709059,0,0.122743152,0.128721685,0.130354632,0.128023894,0.102963979,0.111463164,0.10970673,0.095413493,0,0,0,0,0.193261456,0.187862121,0.537677683,0.167992797,1,0,0.095423659,0.137404893,0.133013255,0.112385597,0,0,0,0,0,0,0.219002574,0,0,0,0,0.128023894,0.106346328,0,0,0.109177831,0,0,0,0.264342963,0,0.120471093,0,0.313664872,0,0,0,0.104366728,0.109153957,0,0,0,0,0.081817597,0,0,0,0,0.1368808,0.679441376,0.126220586,0.120471093,0.11062509,0,0.126220586,0,0,0.189737734,0.215202558,0,0.13862868,0,0.054584382,0.105257462,0.055254223,0.040638222,0.103485672,0,0.112196423,0.137404893,0.219002574,0.162656666,0.124547177,0.160470024,0.141432145,0.099034193,0.123242753,0.19305537,0.152783197,0.134747365,0,0.117779973,0.093906171,0.091137144,0,0,0.113528991,0.130671064,0,0.167992797,0,0.050890589,0,0,0,0,0.111463164,0.167992797,0,0,0.175512913,0.115056464,0.036227922,0,0,0,0,0,0,0.118709623,0.122743152,0.224238413,0.308233981,0.186772815,0,0,0,0.067606883,0,0,0,0.167992797,0,0,0,0,0,0,0,0,0.167992797,0,0,0.270388219,0.145951671,0.14694163,0.093028164,0.039725079,0,0.118710527,0,0.088627714,0,0.109153957,0,0.118783019,0,0.317341991,0.238920196,0.047741283,0,0,0,0.153045144
"Diabetes Mellitus, Type 2",0,0,0,0,0,0,0.11663597,0,0,0,0,0,0.09157508,0,0,0,0,0,0,0,0,0,0,0,0,0.081907261,0,0,0,0,0,0,0,0,0,0,0.09613913,0,0,0,0,1,0,0,0,0.11025312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.825271837,0,0,0,0,0,0,0,0,0.143033878,0,0,0,0.058734336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073410101,0,0,0,0,0,0.202531876,0,0.034458109,0.113178806,0,0,0,0,0,0,0,0.092031787,0.072384239,0,0,0,0,0,0,0.129942362,0.05543569,0,0,0.078840284,0,0,0,0,0,0,0.261853096,0,0,0,0,0,0,0,0,0,0,0,0.104763873,0.547135906,0,0,0,0,0,0.059207398,0.406969443,0,0,0,0,0.101909252,0,0,0,0,0.338422619,0,0,0,0.206577909,0,0,0,0,0.246108637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081751798
Gallbladder Neoplasms,0,0.043206775,0.079117447,0.102945407,0.069993941,0.282304041,0.136426623,0.08439771,0,0,0.202822151,0,0.109826529,0.108573445,0,0.112410883,0.202455138,0.244932325,0.052390997,0,0.25462005,0.031885422,0.20538756,0.043422685,0.04242504,0.092342049,0.082684367,0.044916432,0.031885422,0.036410081,0.28127798,0.108578013,0,0,0,0,0.114770598,0.09185201,0.075108458,0.065795686,0.095423659,0,1,0.049532348,0.085476061,0.337365629,0,0,0,0,0,0,0.093484845,0,0,0,0,0.044916432,0,0,0,0.035400096,0,0,0,0.04097238,0,0.041375502,0,0.054386802,0,0,0,0.033321896,0.035389624,0,0,0,0,0,0,0,0,0,0.04979841,0.102945407,0.044056903,0.041375502,0.037968012,0,0.044056903,0,0.111240816,0.247530037,0.083638979,0,0.044694514,0,0,0.032867472,0.072366379,0,0,0,0,0.049532348,0.093484845,0.097817775,0.386759888,0.05593305,0.047324262,0.110323318,0.07736732,0.072342881,0,0,0,0.040149912,0.10630351,0,0,0,0.037336381,0.217054921,0,0.065795686,0,0,0,0.053073919,0,0,0.036410081,0.065795686,0,0.053107805,0.140453912,0.203794684,0,0,0,0,0,0,0,0.039714692,0.04242504,0.106311596,0.046160101,0.064499651,0,0,0,0,0,0,0,0.065795686,0,0,0,0,0.162681646,0,0,0,0.065795686,0,0,0,0.054222576,0.054716725,0.028666887,0,0,0.039715208,0,0,0,0.035389624,0,0,0,0.065795686,0,0,0,0,0,0
"Leukemia, Myeloid, Acute",0,0.139719641,0.03641352,0.046454496,0.222442144,0.049532348,0.061856748,0.038128698,0,0,0.035799907,0,0.047923255,0.04952139,0,0.051649756,0.093501946,0.335875462,0.16710323,0,0.102596409,0.104417307,0.035250988,0,0.13664327,0.087877052,0.095148419,0.146528902,0.104417307,0.118632748,0.056140193,0.049523355,0,0,0,0,0.05043323,0.042227728,0.087956507,0.221445973,0.137404893,0,0.049532348,1,0.102506922,0.058272435,0,0,0,0,0,0,0.63301595,0,0,0,0,0.146528902,0,0,0,0.114609433,0,0,0,0.089307605,0,0.263455933,0,0.110201176,0,0,0,0.106489529,0.227706231,0,0,0,0,0,0,0,0,0,0.312522997,0.046454496,0.143093229,0.263455933,0.114645558,0,0.143093229,0,0,0.120286341,0.096421234,0,0.128887148,0,0,0.108422306,0,0,0,0,0,0.165533134,0.318495287,0.150477118,0.068703852,0.155370744,0.127124622,0.048173875,0.09106687,0.193340692,0,0,0,0.454385156,0.048276262,0,0,0,0.122366375,0.099679599,0,0.221445973,0,0,0,0,0,0,0.118632748,0.221445973,0,0,0.130584768,0.123183165,0,0,0,0,0,0,0,0.132161811,0.13664327,0.048280677,0.143733383,0.073752331,0,0,0,0,0,0,0,0.221445973,0,0,0,0,0,0,0,0,0.787136758,0,0,0,0.174190592,0.176122739,0.089041006,0,0,0.798409727,0,0,0,0.227706231,0,0,0,0.221445973,0,0,0,0,0,0
