,Acquired Immunodeficiency Syndrome,Neoplasms,Cardiomegaly,Stomach Neoplasms,Multiple Sclerosis,Glioma,"Cardiomyopathy, Dilated",Hepacivirus,Spinocerebellar Ataxias,Alzheimer Disease,"Myositis, Inclusion Body",Ovarian Neoplasms,Melanoma,"Carcinoma, Non-Small-Cell Lung",Urinary Bladder Neoplasms,Esophageal Squamous Cell Carcinoma,"Thyroid Cancer, Papillary",Osteosarcoma,Retinoblastoma,"Carcinoma, Hepatocellular",Colorectal Neoplasms,Lung Neoplasms,Breast Neoplasms,Aging,Uterine Cervical Neoplasms,Esophageal Neoplasms,Parotid Neoplasms,Tongue Neoplasms,Depression,Huntington Disease,Mental Disorders,Schizophrenia,Testicular Neoplasms,Endometrial Neoplasms,"Carcinoma, Renal Cell",Prostatic Neoplasms,Adenocarcinoma of Lung,"Leukemia, Myeloid, Acute",Gallbladder Neoplasms,Colonic Neoplasms,Small Cell Lung Carcinoma,Pancreatic Neoplasms,Hematologic Neoplasms,Atherosclerosis,Periodontitis,"Aortic Aneurysm, Abdominal",Precursor Cell Lymphoblastic Leukemia-Lymphoma,Aortic Aneurysm,"Carcinoma, Basal Cell",Cardiovascular Diseases,Coronary Artery Disease,Coronary Disease,Diabetes Mellitus,Endometriosis,Intracranial Aneurysm,Frailty,Glaucoma,Leukemia,Myocardial Infarction,Nasopharyngeal Carcinoma,Neurofibromatoses,Peripheral Arterial Disease,"Neurofibroma, Plexiform",Stroke,"Diabetes Mellitus, Type 2",Thyroid Neoplasms,Hypertension,Primary Myelofibrosis,"Leukemia, Lymphocytic, Chronic, B-Cell",Medulloblastoma,Bone Diseases,"Osteoporosis, Postmenopausal",Bipolar Disorder,Panic Disorder,DiGeorge Syndrome,Mood Disorders,Autism Spectrum Disorder,"Leukemia, Lymphoid",Lymphoma,"Carcinoma, Embryonal",Autoimmune Diseases,Kidney Neoplasms,Head and Neck Neoplasms,Liver Cirrhosis,Osteoarthritis,"Lymphoma, Mantle-Cell",Adrenocortical Carcinoma,Beckwith-Wiedemann Syndrome,Hydatidiform Mole,Choriocarcinoma,Congenital Hyperinsulinism,"Neoplasms, Germ Cell and Embryonal",Gestational Trophoblastic Disease,Glioblastoma,Hyperhomocysteinemia,Infertility,Liver Neoplasms,Marek Disease,Meningioma,Neural Tube Defects,Neuroblastoma,Obesity,Pheochromocytoma,Pituitary Neoplasms,Prader-Willi Syndrome,Pre-Eclampsia,Silver-Russell Syndrome,Trophoblastic Neoplasms,Wilms Tumor,Diabetic Cardiomyopathies,"Colitis, Ulcerative",Pneumoconiosis,"Heart Defects, Congenital",Parkinson Disease,Adenocarcinoma,Gastrointestinal Neoplasms,"Arthritis, Rheumatoid",Gastrointestinal Stromal Tumors,Asthenozoospermia,Squamous Cell Carcinoma of Head and Neck,"Diabetes Mellitus, Type 1",Uterine Neoplasms,Multiple Myeloma,Hemangioma,"Carcinoma, Ovarian Epithelial",Pulmonary Arterial Hypertension,Amyotrophic Lateral Sclerosis,"Vitreoretinopathy, Proliferative",Congenital Microtia,HIV,Diabetic Retinopathy,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",Substance-Related Disorders,Myelodysplastic Syndromes,"Purpura, Thrombocytopenic",Metabolic Syndrome,Myopia,"Leukemia, Myeloid",Down Syndrome,Psoriasis,Burkitt Lymphoma,Cleft Lip,Diabetic Nephropathies,Hodgkin Disease,Plasmacytoma,Asthma,"Leukemia, Promyelocytic, Acute","Lymphoma, B-Cell",Rhabdomyosarcoma,"Anemia, Aplastic",Dyskeratosis Congenita,"Renal Insufficiency, Chronic",Hepatoblastoma,"Carcinoma, Squamous Cell",Urinary Bladder,Klinefelter Syndrome,"Glomerulonephritis, Membranous"
Mental Disorders,0,0,0,0,0,0,0,0,0,0.24047297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149169646,1,0.460750139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.460750139,0.460750139,0,0.618819951,0.380952363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.499490311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Schizophrenia,0,0,0,0,0,0,0,0,0,0.103115755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068232535,0.460750139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194200756,0.194200756,0,0.278709095,0.149016847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237831671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Testicular Neoplasms,0,0.195104005,0,0.114770598,0,0.045221769,0,0,0,0,0,0.441351723,0.052639838,0.091089132,0.245944089,0.093949961,0.261307684,0.044557334,0.091375348,0.105407622,0.089557351,0.118045499,0.190931258,0,0.163274755,0.128531184,0.095603504,0.114756795,0,0,0,0,1,0.174976977,0.186992056,0.483582346,0.095587755,0.05043323,0.114770598,0.090061797,0.091089132,0.343581372,0.196639659,0,0,0,0.043658223,0,0.046658744,0,0,0,0.123273489,0,0,0,0,0.084553681,0,0.086479158,0.054297064,0,0.038919722,0,0.09613913,0.358039487,0,0,0.038910415,0.03705176,0,0,0,0,0.046217164,0,0,0.050487295,0.067098176,0.063181263,0,0.245944089,0.223882018,0,0,0.045939128,0.229178644,0,0.04647362,0.048396566,0,0.084553681,0.055519063,0.036249767,0,0.192592102,0.14754722,0,0.105319182,0,0.036249767,0,0.037137924,0.299781305,0,0,0,0.068937022,0.193261456,0.072016338,0,0,0,0,0.05043323,0.14754722,0,0.041527987,0.134790763,0.140802621,0.085465145,0.198901392,0.04014961,0.063181263,0.355136728,0,0,0,0,0,0.058129052,0.042597382,0,0,0,0,0,0.063181263,0,0,0.032709521,0,0.121965999,0.054538246,0.054137435,0,0.04266693,0.045939128,0.04062253,0,0,0.050091252,0.063181263,0.046658744,0,0.177124106,0.038067726
Endometrial Neoplasms,0,0.247145315,0,0.09185201,0,0.036619755,0,0,0,0,0,0.404993686,0.046573708,0.060465574,0.260265616,0.071676657,0.077666975,0.035931655,0.069312854,0.082540126,0.063128428,0.095207868,0.188435987,0,0.649170405,0.111407647,0.068501232,0.091838584,0,0,0,0,0.174976977,1,0.179432042,0.182521258,0.06848864,0.042227728,0.09185201,0.059591481,0.060465574,0.115089499,0.195748656,0,0,0,0.035008539,0,0.038129267,0,0,0,0,0.31166427,0,0,0,0.08779516,0,0.060383147,0.050041314,0,0.028464499,0,0,0.121203641,0,0,0.028455741,0.02673059,0,0,0,0,0,0,0,0.044187514,0.064926964,0.059052984,0,0.260265616,0.232464836,0,0,0.037369203,0.061777443,0,0.067823917,0.073333052,0,0.08779516,0.087205188,0.024432996,0,0.264296148,0.132615176,0,0.082361216,0,0.024432996,0,0.025218654,0.09733058,0,0.060137112,0,0.115411486,0.187862121,0,0,0,0,0,0.042227728,0.132615176,0,0.032863537,0,0.124916597,0,0.862922419,0.033409482,0.059052984,0.306916046,0,0,0,0,0,0,0.033933601,0,0,0,0,0,0.059052984,0,0,0.02287589,0,0.089367625,0.048721377,0.048264788,0,0.032091575,0.037369203,0.03008783,0,0,0.083384921,0.059052984,0.038129267,0,0.060365732,0.058193193
"Carcinoma, Renal Cell",0,0.181885252,0,0.075108458,0,0.156019653,0,0,0,0,0,0.203739349,0.101084362,0.049044168,0.44240311,0.211049936,0.298629259,0.077302249,0.154859461,0.369924829,0.052686728,0.07733847,0.152359767,0,0.166990563,0.092933129,0.05637747,0.075099931,0,0,0,0,0.186992056,0.179432042,1,0.195444981,0.375673906,0.087956507,0.075108458,0.048466404,0.049044168,0.09548053,0.15710518,0,0,0,0.075680077,0,0.288271559,0,0,0,0,0.123056783,0,0,0,0.179920851,0,0.260100471,0.071201179,0,0.060956425,0,0,0.099651635,0,0,0.060941258,0.11511383,0,0,0,0,0,0,0,0.096799824,0.141381786,0.122261109,0,0.733350588,0.179911232,0,0,0.079794086,0.344852739,0,0.093391494,0.36915903,0,0.179920851,0.119470962,0.102949568,0,0.173839333,0.107237859,0,0.126938001,0,0.102949568,0,0.053123525,0.082927595,0,0.047023864,0,0.158052688,0.537677683,0,0,0,0,0,0.531352878,0.107237859,0,0.071852015,0.041797998,0.286643575,0,0.22090863,0.076407716,0.122261109,0.342792599,0,0,0,0,0,0,0.073773191,0,0,0,0,0,0.122261109,0,0,0.050900127,0,0.30491638,0.104871962,0.104073155,0,0.067089662,0.079794086,0.063738322,0,0,0.27443925,0.122261109,0.288271559,0,0.081823072,0.197376371
Prostatic Neoplasms,0,0.244868508,0,0.108573445,0,0.043198289,0,0,0,0,0,0.193645043,0.052381582,0.079101126,0.267888363,0.085410995,0.092326931,0.042416838,0.082672014,0.097929033,0.078991282,0.112389137,0.202417511,0,0.167710919,0.125738622,0.085476495,0.108557625,0,0,0,0,0.483582346,0.182521258,0.195444981,1,0.085459961,0.04952139,0.108573445,0.078002802,0.079101126,0.129754388,0.20995733,0,0,0,0.041367673,0,0.044907309,0,0,0,0,0,0,0,0,0.093463921,0,0.07572581,0.054379372,0,0.035392897,0,0,0.136402464,0,0,0.035382428,0.033315453,0,0,0,0,0,0,0,0.049789852,0.069981943,0.065781186,0,0.267888363,0.247474634,0,0,0.044048103,0.077353888,0,0.044685474,0.047316484,0,0.093463921,0.055922396,0.031878485,0,0.238186666,0.148748703,0,0.097800896,0,0.031878485,0,0.032860141,0.11030708,0,0,0,0.0723301,0.20178471,0,0,0,0,0,0.04952139,0.148748703,0,0.038920732,0.171187729,0.140428391,0,0.211257522,0.03796285,0.065781186,0.15093352,0,0,0,0,0,0,0.040142508,0,0,0,0,0,0.065781186,0,0,0.028661986,0,0.064591717,0.054706505,0.05421253,0,0.039706307,0.044048103,0.03732844,0,0,0.063077472,0.065781186,0.044907309,0,0.046205923,0.046570382
Adenocarcinoma of Lung,0,0.220634996,0,0.085476061,0,0.178653715,0,0,0,0,0,0.091581467,0.114862428,0.338880314,0.081174552,0.234128409,0.333848624,0.088320361,0.171265211,0.416116642,0.059203947,0.533882735,0.174596064,0,0.06311275,0.104458049,0.063904315,0.08546463,0,0,0,0,0.095587755,0.06848864,0.375673906,0.085459961,1,0.102506922,0.085476061,0.055342891,0.338880314,0.107687796,0.180855943,0,0,0,0.086209912,0,0.331682149,0,0,0,0,0,0,0,0,0.211759916,0,0.291062097,0.078669311,0,0.06984403,0,0,0.113022593,0,0,0.069824118,0.130946149,0,0,0,0,0,0,0,0.109362078,0.160323818,0.143009225,0,0.081174552,0.21175567,0,0,0.091589954,0.386623727,0,0.079757725,0.385305967,0,0.211759916,0.102194678,0.11869604,0,0,0.122882078,0,0.14283657,0,0.11869604,0,0.061489019,0.091984467,0,0,0,0.135053778,0.133013255,0,0,0,0,0,0.619253192,0.122882078,0,0.081276863,0,0.32619057,0,0.083740121,0.084026386,0.143009225,0.27719544,0,0,0,0,0,0,0.083743376,0,0,0,0,0,0.143009225,0,0,0.056951958,0,0,0.119779327,0.118737124,0,0.078014654,0.091589954,0.073519838,0,0,0,0.143009225,0.331682149,0,0,0
"Leukemia, Myeloid, Acute",0,0.335875462,0,0.049532348,0,0.139719641,0,0,0,0,0,0.047923255,0.16710323,0.03641352,0.046454496,0.087429314,0.087877052,0.13664327,0.095148419,0.102596409,0.035250988,0.051649756,0.093501946,0,0.038128698,0.056140193,0.038721847,0.049523355,0,0,0,0,0.05043323,0.042227728,0.087956507,0.04952139,0.102506922,1,0.049532348,0.035799907,0.03641352,0.058272435,0.097797202,0,0,0,0.263455933,0,0.146528902,0,0,0,0,0,0,0,0,0.63301595,0,0.109389695,0.110201176,0,0.114609433,0,0,0.061856748,0,0,0.227706231,0.106489529,0,0,0,0,0,0,0,0.312522997,0.222442144,0.221445973,0,0.046454496,0.120286341,0,0,0.143093229,0.09106687,0,0.128887148,0.127124622,0,0.318495287,0.155370744,0.104417307,0,0,0.068703852,0,0.150477118,0,0.104417307,0,0.108422306,0.048173875,0,0,0,0.193340692,0.137404893,0,0,0,0,0,0.165533134,0.068703852,0,0.123183165,0,0.130584768,0,0.048280677,0.114645558,0.221445973,0.096421234,0,0,0,0,0,0,0.454385156,0,0,0,0,0,0.787136758,0,0,0.089041006,0,0,0.176122739,0.174190592,0,0.798409727,0.143093229,0.122366375,0,0,0,0.221445973,0.146528902,0,0,0
Gallbladder Neoplasms,0,0.244932325,0,0.282304041,0,0.043206775,0,0,0,0,0,0.109826529,0.052390997,0.079117447,0.102945407,0.196798513,0.092342049,0.04242504,0.082684367,0.25462005,0.20538756,0.112410883,0.202455138,0,0.08439771,0.28127798,0.085492602,0.108578013,0,0,0,0,0.114770598,0.09185201,0.075108458,0.108573445,0.085476061,0.049532348,1,0.202822151,0.079117447,0.337365629,0.209997692,0,0,0,0.041375502,0,0.044916432,0,0,0,0,0,0,0,0,0.093484845,0,0.075738778,0.054386802,0,0.035400096,0,0,0.136426623,0,0,0.035389624,0.033321896,0,0,0,0,0,0,0,0.04979841,0.069993941,0.065795686,0,0.102945407,0.247530037,0.111240816,0,0.044056903,0.07736732,0,0.044694514,0.047324262,0.072366379,0.093484845,0.05593305,0.031885422,0,0,0.386759888,0,0.097817775,0,0.031885422,0,0.032867472,0.110323318,0,0,0,0.072342881,0.095423659,0,0.053073919,0,0,0,0.049532348,0.386759888,0,0.203794684,0,0.140453912,0,0.106311596,0.037968012,0.065795686,0.083638979,0,0,0,0,0,0,0.040149912,0,0,0,0,0,0.065795686,0,0,0.028666887,0,0,0.054716725,0.054222576,0,0.039715208,0.044056903,0.037336381,0,0,0,0.065795686,0.044916432,0,0,0
Colonic Neoplasms,0,0.235773572,0,0.40214593,0,0.031089556,0,0,0,0,0,0.086095991,0.041312418,0.046310002,0.073850066,0.24732088,0.066060207,0.030511072,0.059002187,0.182420417,0.798508947,0.080843991,0.172844303,0,0.054623711,0.388223318,0.055351883,0.078007865,0,0,0,0,0.090061797,0.059591481,0.048466404,0.078002802,0.055342891,0.035799907,0.202822151,1,0.046310002,0.265541767,0.179486527,0,0,0,0.029733865,0,0.032359039,0,0,0,0,0,0,0,0,0.080354537,0,0.048792956,0.046028839,0,0.022981005,0,0,0.107527728,0,0,0.022974,0.021593458,0,0,0,0,0,0,0,0.039213321,0.059603789,0.052259727,0,0.073850066,0.212763486,0.088492352,0,0.031719401,0.049961015,0,0.032192444,0.037214545,0.05682722,0.080354537,0.044188548,0.018700805,0,0,0.305598802,0,0.069957667,0,0.018700805,0,0.01929638,0.086494124,0,0,0,0.061660934,0.072373679,0,0.285862637,0,0,0,0.035799907,0.605921982,0,0.335104574,0,0.110792615,0,0.076333211,0.029708609,0.052259727,0.059697954,0,0,0,0,0,0,0.028829116,0,0,0,0,0,0.052259727,0,0,0.018502842,0,0,0.043199663,0.042798897,0,0.025879082,0.031719401,0.024279089,0,0,0,0.052259727,0.032359039,0,0,0
Small Cell Lung Carcinoma,0,0.241103705,0,0.079117447,0,0.031551701,0,0,0,0,0,0.087034621,0.041885583,0.705684099,0.074834189,0.061670851,0.066847182,0.030956074,0.059629763,0.071060383,0.051685208,0.704034697,0.175421231,0,0.055357828,0.100145343,0.056105744,0.079106246,0,0,0,0,0.091089132,0.060465574,0.049044168,0.079101126,0.338880314,0.03641352,0.079117447,0.046310002,1,0.103469859,0.182266598,0,0,0,0.030156432,0,0.032859837,0,0,0,0,0,0,0,0,0.081833474,0,0.049381622,0.046511232,0,0.02332524,0,0,0.108993972,0,0,0.023318025,0.021897272,0,0,0,0,0,0,0,0.039729488,0.060414356,0.053179364,0,0.074834189,0.216679431,0,0,0.032200582,0.050574966,0,0.032688171,0.037679307,0,0.081833474,0.044844813,0.018996465,0,0,0.119310186,0,0.070845897,0,0.018996465,0,0.019611202,0.087441476,0,0,0,0.06252877,0.073130403,0,0,0.15149613,0,0,0.03641352,0.119310186,0,0.02830008,0,0.112349672,0,0.077384816,0.03000441,0.053179364,0.060340445,0.185137973,0,0,0,0,0,0.029226239,0,0,0,0,0,0.053179364,0,0,0.018725816,0,0,0.043826713,0.043414256,0.15165256,0.026315961,0.032200582,0.024663422,0,0,0,0.053179364,0.032859837,0,0,0
Pancreatic Neoplasms,0,0.233590418,0,0.337365629,0,0.051425227,0,0,0,0,0,0.329676108,0.059443055,0.103469859,0.123515549,0.246031024,0.290694247,0.050567441,0.100639989,0.306570391,0.260209366,0.133978555,0.217266958,0,0.106429475,0.331039773,0.107708437,0.129758382,0,0,0,0,0.343581372,0.115089499,0.09548053,0.129754388,0.107687796,0.058272435,0.337365629,0.265541767,0.103469859,1,0.224689324,0,0,0,0.049412833,0,0.053291309,0,0,0,0.141191393,0,0,0,0,0.098562633,0,0.096291724,0.059750816,0,0.04428434,0,0.11025312,0.403604046,0,0,0.044272291,0.04188183,0,0,0,0,0.050682661,0,0,0.056712595,0.075628311,0.073242466,0,0.123515549,0.260975051,0.123332223,0,0.052355223,0.255623032,0,0.053050727,0.054088401,0.216995031,0.098562633,0.063141435,0.041479725,0,0,0.436436947,0,0.117866357,0,0.041479725,0,0.04264657,0.331076755,0,0,0,0.077972922,0.112385597,0.081618504,0.066790266,0,0,0,0.058272435,0.436436947,0,0.244489457,0,0.159210051,0.096440176,0.127252469,0.043989598,0.073242466,0.26492699,0,0,0,0,0,0.065372446,0.048057984,0,0,0,0,0,0.073242466,0,0,0.036417302,0,0.077593618,0.061875659,0.061359815,0,0.049200549,0.052355223,0.046501992,0,0,0,0.073242466,0.053291309,0,0.068728971,0
Hematologic Neoplasms,0,0.342686251,0,0.209997692,0,0.083997622,0,0,0,0,0,0.187525436,0.091278741,0.182266598,0.198055175,0.161768922,0.175956598,0.082318942,0.156194706,0.18758129,0.165972593,0.218133797,0.320492252,0,0.178366054,0.217119497,0.180901076,0.209961061,0,0,0,0,0.196639659,0.195748656,0.15710518,0.20995733,0.180855943,0.097797202,0.209997692,0.179486527,0.182266598,0.224689324,1,0,0,0,0.162016009,0,0.087683502,0,0,0,0,0,0,0,0,0.151559528,0,0.158827913,0.083545022,0,0.075601352,0,0,0.23730637,0,0.261046593,0.152903894,0.070724147,0,0,0,0,0.057130187,0,0,0.174686182,0.201405671,0.117578148,0,0.198055175,0.40130072,0,0,0.164418853,0.162232531,0,0.087209337,0.081681595,0,0.151559528,0.098103774,0.073972685,0,0,0.261065115,0.070667987,0.187726374,0,0.073972685,0,0.076512032,0.188438431,0,0,0,0.113873609,0.168682062,0,0,0,0,0,0.097797202,0.261065115,0,0.074898021,0,0.245006789,0,0.205156385,0.211865459,0.117578148,0.158133836,0,0,0,0,0,0,0.284414752,0,0.313718902,0.161944688,0,0,0.117578148,0,0,0.116878504,0,0,0.179712829,0.094794244,0,0.085919823,0.164418853,0.080197337,0.280425745,0,0,0.117578148,0.087683502,0,0,0
Atherosclerosis,0,0,0.094853694,0,0,0,0.074753117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.153749255,0,0.196132076,0,0.336311028,0.466291448,0.20508994,0,0,0.167823824,0,0,0,0.20508994,0,0,0.727451135,0,0.190158419,0,0,0.319707885,0,0,0,0,0,0,0,0.034372837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066687014,0,0,0.094831881,0,0,0,0,0,0,0,0,0,0.115254793,0,0,0,0,0,0,0,0.160217771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Periodontitis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168406345,0.215599631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056014206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215609414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aortic Aneurysm, Abdominal",0,0,0.088692204,0,0,0,0.06957264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153749255,0,1,0,0.82550776,0,0.30143344,0.123707235,0.190274521,0,0,0.312706318,0,0,0,0.190274521,0,0,0.164011574,0,0.177354145,0,0,0.293514824,0,0,0,0,0,0,0,0.032914286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062533007,0,0,0.088673132,0,0,0,0,0,0,0,0,0,0.110422048,0,0,0,0,0,0,0,0.151030298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Precursor Cell Lymphoblastic Leukemia-Lymphoma,0.048039002,0.248352782,0,0.041375502,0.046446001,0.115469732,0,0,0,0,0,0.041764579,0.139932253,0.030156432,0.039205409,0.076123024,0.075586014,0.113361432,0.083242015,0.08736977,0.030073609,0.042843099,0.077177521,0,0.032143521,0.047871258,0.03256407,0.041369409,0,0,0,0,0.043658223,0.035008539,0.075680077,0.041367673,0.086209912,0.263455933,0.041375502,0.029733865,0.030156432,0.049412833,0.162016009,0,0,0,1,0,0.120082876,0,0,0,0,0,0,0,0,0.497614866,0,0.093943085,0.096549722,0,0.094611622,0,0,0.051966605,0,0.051191279,0.620497364,0.089008524,0,0,0,0,0.07973571,0,0,0.872197181,0.600040712,0.176127542,0.147928373,0.039205409,0.094557288,0,0,0.406288033,0.077971628,0,0.105737294,0.108465807,0,0.250369662,0.128380456,0.085259257,0,0,0.056715058,0.324682406,0.128081208,0,0.085259257,0,0.087911747,0.041954803,0,0,0,0.161417235,0.120471093,0,0,0,0,0,0.132555069,0.056715058,0.065632792,0.103938306,0,0.109082881,0.073200075,0.040498435,0.333430031,0.176127542,0.08421521,0,0,0,0,0,0,0.254556233,0,0.067994052,0.115642665,0,0,0.35005712,0,0,0.273504578,0,0,0.48596122,0.434183753,0.038360173,0.211204455,0.406288033,0.099837573,0.061444321,0,0,0.176127542,0.120082876,0,0,0.074509481
Aortic Aneurysm,0,0,0.102261641,0,0,0,0.084278595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196132076,0,0.82550776,0,1,0,0.318951239,0.158233614,0.230371921,0,0,0.379455218,0,0,0,0.230371921,0,0,0.198934699,0,0.214920842,0,0,0.337376295,0,0,0,0,0,0,0,0.042244993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075847902,0,0,0.102239912,0,0,0,0,0,0,0,0,0,0.134434275,0,0,0,0,0,0,0,0.183355283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carcinoma, Basal Cell",0,0.283736906,0,0.044916432,0,0.25029421,0,0,0,0,0,0.044502378,0.151742912,0.032859837,0.042370659,0.27208997,0.258964613,0.12342888,0.175988889,0.315360883,0.032348324,0.046650919,0.084214944,0,0.034755512,0.05150256,0.035247676,0.044909149,0,0,0,0,0.046658744,0.038129267,0.288271559,0.044907309,0.331682149,0.146528902,0.044916432,0.032359039,0.032859837,0.053291309,0.087683502,0,0,0,0.120082876,0,1,0,0,0,0,0,0,0,0,0.278924977,0,0.358134372,0.102636598,0,0.103235319,0,0,0.056273526,0,0,0.103201688,0.191995423,0,0,0,0,0,0,0,0.143567456,0.202388977,0.195253656,0,0.042370659,0.105341794,0,0,0.128666339,0.297645036,0,0.115684425,0.335361425,0,0.278924977,0.140024342,0.185773191,0,0,0.061884107,0,0.137906354,0,0.185773191,0,0.096666669,0.044718414,0,0,0,0.175269549,0.128023894,0,0,0,0,0,0.520841644,0.061884107,0,0.112340376,0,0.366036315,0,0.043884748,0.107200613,0.195253656,0.318658766,0,0,0,0,0,0,0.116194837,0,0,0,0,0,0.195253656,0,0,0.082020039,0,0,0.159142735,0.157564505,0,0.117265719,0.128666339,0.10948775,0,0,0,0.195253656,0.467203749,0,0,0
Cardiovascular Diseases,0,0,0.323953262,0,0,0,0.318954003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336311028,0,0.30143344,0,0.318951239,0,1,0.245077769,0.339214896,0,0,0.259189988,0,0,0,0.339214896,0,0,0.273562897,0,0.305829599,0,0,0.459897499,0,0,0,0,0,0,0,0.153180597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273701488,0,0,0.323853881,0,0,0,0,0,0,0,0,0,0.16280124,0,0,0,0,0,0,0,0.244151555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coronary Artery Disease,0,0,0.20341088,0,0,0,0.158230362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.466291448,0,0.123707235,0,0.158233614,0,0.245077769,1,0.682147816,0,0,0.139279759,0,0,0,0.426566394,0,0,0.374841781,0,0.154321511,0,0,0.248398256,0,0,0,0,0,0,0,0.078935132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144162608,0,0,0.203372646,0,0,0,0,0,0,0,0,0,0.101034252,0,0,0,0,0,0,0,0.133999585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coronary Disease,0,0,0.278809252,0,0,0,0.230373319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20508994,0,0.190274521,0,0.230371921,0,0.339214896,0.682147816,1,0,0,0.198340727,0,0,0,0.625324651,0,0,0.206387448,0,0.223646516,0,0,0.354149597,0,0,0,0,0,0,0,0.11364443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206463934,0,0,0.278747691,0,0,0,0,0,0,0,0,0,0.137795714,0,0,0,0,0,0,0,0.189667671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
